participant_ID,block,correct_val_IR,wrong_IR,missed_val,threshold,is_valid
232,1,10,7,0,3.5,True
232,2,10,6,0,3.0,True
232,3,10,3,0,1.5,True
235,1,10,13,0,6.5,True
235,2,10,5,0,2.5,True
235,3,9,4,1,3.0,True
236,1,10,7,0,3.5,True
236,2,10,6,0,3.0,True
236,3,10,2,0,1.0,True
241,1,10,8,0,4.0,True
241,2,10,9,0,4.5,True
241,3,9,7,1,4.5,True
242,1,10,2,0,1.0,True
242,2,8,1,2,2.5,True
242,3,9,0,1,1.0,True
243,1,10,4,0,2.0,True
243,2,10,3,0,1.5,True
243,3,10,0,0,0.0,True
245,1,7,10,3,8.0,False
245,2,7,5,3,5.5,True
245,3,7,4,3,5.0,True
246,1,9,3,1,2.5,True
246,2,10,2,0,1.0,True
246,3,8,2,2,3.0,True
247,1,10,3,0,1.5,True
247,2,9,0,1,1.0,True
247,3,7,1,3,3.5,True
249,1,10,13,0,6.5,True
249,2,10,8,0,4.0,True
249,3,9,5,1,3.5,True
251,1,10,11,0,5.5,True
251,2,10,18,0,9.0,True
251,3,10,15,0,7.5,True
252,1,10,7,0,3.5,True
252,2,10,2,0,1.0,True
252,3,10,1,0,0.5,True
253,1,10,3,0,1.5,True
253,2,10,5,0,2.5,True
253,3,10,7,0,3.5,True
254,1,10,16,0,8.0,True
254,2,10,12,0,6.0,True
254,3,8,4,2,4.0,True
256,1,10,14,0,7.0,True
256,2,10,3,0,1.5,True
256,3,8,3,2,3.5,True
257,1,10,8,0,4.0,True
257,2,7,4,3,5.0,True
257,3,9,2,1,2.0,True
258,1,7,8,3,7.0,False
258,2,9,0,1,1.0,True
258,3,8,0,2,2.0,True
259,1,10,14,0,7.0,True
259,2,10,8,0,4.0,True
259,3,10,7,0,3.5,True
260,1,9,5,1,3.5,True
260,2,9,2,1,2.0,True
260,3,10,1,0,0.5,True
261,1,10,15,0,7.5,True
261,2,10,4,0,2.0,True
261,3,8,7,2,5.5,True
262,1,9,4,1,3.0,True
262,2,8,2,2,3.0,True
262,3,10,0,0,0.0,True
263,1,10,8,0,4.0,True
263,2,9,7,1,4.5,True
263,3,9,2,1,2.0,True
264,1,10,8,0,4.0,True
264,2,10,4,0,2.0,True
264,3,10,2,0,1.0,True
266,1,10,8,0,4.0,True
266,2,10,2,0,1.0,True
266,3,10,3,0,1.5,True
267,1,10,13,0,6.5,True
267,2,10,5,0,2.5,True
267,3,10,4,0,2.0,True
269,1,10,3,0,1.5,True
269,2,9,2,1,2.0,True
269,3,10,0,0,0.0,True
270,1,6,1,4,4.5,True
270,2,9,0,1,1.0,True
270,3,9,0,1,1.0,True
271,1,10,25,0,12.5,False
271,2,10,21,0,10.5,False
271,3,10,27,0,13.5,False
273,1,9,2,1,2.0,True
273,2,10,1,0,0.5,True
273,3,8,3,2,3.5,True
276,1,9,8,1,5.0,True
276,2,10,4,0,2.0,True
276,3,10,1,0,0.5,True
277,1,10,15,0,7.5,True
277,2,10,7,0,3.5,True
277,3,10,3,0,1.5,True
279,1,10,5,0,2.5,True
279,2,10,4,0,2.0,True
279,3,10,1,0,0.5,True
280,1,9,6,1,4.0,True
280,2,8,3,2,3.5,True
280,3,10,2,0,1.0,True
281,1,10,16,0,8.0,True
281,2,10,16,0,8.0,True
281,3,9,14,1,8.0,True
282,1,10,15,0,7.5,True
282,2,10,6,0,3.0,True
282,3,10,5,0,2.5,True
283,1,7,3,3,4.5,True
283,2,9,0,1,1.0,True
283,3,9,3,1,2.5,True
285,1,10,2,0,1.0,True
285,2,10,2,0,1.0,True
285,3,10,2,0,1.0,True
286,1,10,9,0,4.5,True
286,2,9,2,1,2.0,True
286,3,10,2,0,1.0,True
289,1,10,3,0,1.5,True
289,2,10,7,0,3.5,True
289,3,10,5,0,2.5,True
290,1,10,5,0,2.5,True
290,2,10,4,0,2.0,True
290,3,9,1,1,1.5,True
292,1,10,18,0,9.0,True
292,2,10,17,0,8.5,True
292,3,9,8,1,5.0,True
293,1,10,4,0,2.0,True
293,2,10,3,0,1.5,True
293,3,10,2,0,1.0,True
294,1,9,18,1,10.0,False
294,2,10,17,0,8.5,True
294,3,10,2,0,1.0,True
295,1,10,2,0,1.0,True
295,2,10,3,0,1.5,True
295,3,10,0,0,0.0,True
296,1,10,9,0,4.5,True
296,2,9,2,1,2.0,True
296,3,9,2,1,2.0,True
297,1,10,9,0,4.5,True
297,2,10,20,0,10.0,False
297,3,10,13,0,6.5,True
298,1,10,5,0,2.5,True
298,2,9,3,1,2.5,True
298,3,7,2,3,4.0,True
299,1,7,9,3,7.5,False
299,2,3,9,7,11.5,False
299,3,3,2,7,8.0,False
302,1,10,9,0,4.5,True
302,2,10,7,0,3.5,True
302,3,8,6,2,5.0,True
303,1,10,4,0,2.0,True
303,2,9,1,1,1.5,True
303,3,9,1,1,1.5,True
304,1,10,5,0,2.5,True
304,2,10,9,0,4.5,True
304,3,8,7,2,5.5,True
305,1,10,9,0,4.5,True
305,2,10,2,0,1.0,True
305,3,10,5,0,2.5,True
